completion_year,monthly_rent_rm,property_type,parking,bathroom,size_sqft,furnished,area,rooms_num,nearby_railways
2022.0,4200,Condominium,2.0,6.0,1842,Fully Furnished,Taman Desa,5.0,no
2020.0,1700,Apartment,1.0,2.0,743,Partially Furnished,Sentul,2.0,yes
2018.0,1550,Service Residence,1.0,1.0,700,Fully Furnished,Ampang,1.0,yes
2014.0,1400,Apartment,1.0,1.0,750,Fully Furnished,Segambut,2.0,yes
2019.0,2600,Service Residence,0.0,2.0,868,Partially Furnished,Bukit Jalil,2.0,yes
2022.0,2000,Service Residence,2.0,2.0,1100,Partially Furnished,Setapak,4.0,yes
2018.0,1500,Service Residence,1.0,1.0,700,Fully Furnished,Ampang,1.0,yes
2017.0,1300,Service Residence,1.0,2.0,1009,Fully Furnished,Sentul,3.0,no
2020.0,3200,Apartment,1.0,2.0,950,Fully Furnished,KL City,3.0,yes
2020.0,3200,Apartment,1.0,2.0,950,Fully Furnished,KL City,3.0,yes
2021.0,1400,Service Residence,2.0,2.0,650,Not Furnished,Cheras,2.0,yes
2021.0,1099,Service Residence,1.0,2.0,650,Not Furnished,Cheras,2.0,yes
2021.0,1099,Service Residence,1.0,2.0,650,Partially Furnished,Cheras,2.0,yes
2021.0,1199,Service Residence,1.0,2.0,819,Not Furnished,Cheras,3.0,yes
2021.0,1100,Service Residence,1.0,2.0,650,Not Furnished,Cheras,2.0,no
2017.0,2500,Condominium,2.0,3.0,1500,Partially Furnished,Solaris Dutamas,4.0,no
2017.0,2900,Condominium,2.0,3.0,1719,Fully Furnished,Solaris Dutamas,4.0,no
2006.0,1750,Apartment,0.0,2.0,1065,Partially Furnished,Sentul,3.0,
2015.0,1900,Condominium,2.0,2.0,1300,Partially Furnished,Sentul,3.0,
2015.0,4500,Service Residence,2.0,2.0,1539,Fully Furnished,Desa Pandan,3.0,yes
1999.0,1400,Condominium,1.0,2.0,1270,Partially Furnished,Old Klang Road,3.0,no
2021.0,1800,Service Residence,1.0,2.0,819,Partially Furnished,Cheras,3.0,yes
2019.0,3000,Condominium,2.0,2.0,1200,Fully Furnished,Setapak,3.0,no
2004.0,1600,Condominium,1.0,2.0,1100,Fully Furnished,Jalan Kuching,3.0,no
2007.0,1800,Condominium,0.0,2.0,1066,Fully Furnished,Setapak,3.0,
2015.0,2500,Condominium,1.0,1.0,890,Fully Furnished,Ampang Hilir,2.0,
2020.0,1300,Service Residence,1.0,2.0,650,Partially Furnished,Sentul,2.0,
2007.0,2000,Service Residence,1.0,2.0,742,Fully Furnished,Bukit Bintang,2.0,
2002.0,2100,Condominium,1.0,3.0,1300,Fully Furnished,Cheras,4.0,
2020.0,2600,Condominium,2.0,2.0,1000,Fully Furnished,Wangsa Maju,4.0,
2015.0,2000,Service Residence,1.0,1.0,440,Fully Furnished,Ampang Hilir,1.0,
2020.0,2500,Condominium,2.0,2.0,1028,Fully Furnished,Bukit Jalil,3.0,yes
2017.0,1600,Condominium,1.0,2.0,950,Partially Furnished,Setapak,3.0,
2021.0,1400,Service Residence,2.0,2.0,650,Not Furnished,Cheras,2.0,yes
2019.0,1400,Service Residence,1.0,2.0,850,Not Furnished,Gombak,3.0,yes
2017.0,1350,Apartment,1.0,2.0,850,Partially Furnished,Wangsa Maju,3.0,
2021.0,3000,Service Residence,0.0,2.0,864,Fully Furnished,Cheras,3.0,yes
2017.0,1300,Service Residence,1.0,2.0,1150,Not Furnished,Sentul,3.0,yes
1985.0,1300,Condominium,1.0,2.0,1050,Partially Furnished,Taman Desa,2.0,no
2010.0,1700,Condominium,0.0,3.0,1267,Partially Furnished,Wangsa Maju,3.0,yes
2010.0,2000,Condominium,1.0,3.0,1267,Fully Furnished,Wangsa Maju,3.0,yes
2015.0,1750,Condominium,2.0,2.0,1121,Fully Furnished,Sungai Besi,3.0,no
2021.0,2000,Apartment,1.0,2.0,872,Fully Furnished,Kepong,2.0,yes
2012.0,1100,Condominium,1.0,2.0,904,Partially Furnished,Sungai Besi,3.0,yes
2021.0,1900,Service Residence,1.0,2.0,1132,Partially Furnished,Kepong,2.0,no
